title,rating(y),avg_rating,lee_rating,eval_count,wish_count,cmt_count,director,actors,film_rate,genre,nation,run_time,year,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
행복을 찾아서,3.0,3.83216,,161087.0,12598.0,843.0,가브리엘무치노,"윌스미스,제이든스미스,제임스카렌",전체 관람가,드라마,미국,117.0,2006.0,416,670,2967,3359,7016,14372,31677,9495,52979,38136
주유소 습격사건,3.0,3.28982,,197341.0,1493.0,510.0,김상진,"이성재,유오성,강성진",청소년 관람불가,코미디,한국,117.0,1999.0,1800,2743,7436,9182,20120,21334,59400,4584,53712,17030
아마겟돈,4.0,3.84287,,186844.0,4811.0,899.0,마이클베이,"브루스윌리스,벤애플렉,리브타일러",12세 관람가,SF,미국,145.0,1998.0,420,697,2250,3650,6757,18012,36152,10938,68713,39255
유령 신부,2.0,3.54246,,213616.0,6829.0,512.0,팀버튼,"조니뎁,헬레나본햄카터,에밀리왓슨",전체 관람가,애니메이션,미국,77.0,2005.0,779,1501,4649,7082,14348,24691,57846,7590,66618,28512
쿵푸 허슬,4.0,3.57502,,213524.0,1223.0,1034.0,주성치,"주성치,조지릉,석행우",15세 관람가,코미디,중국,101.0,2004.0,1101,1761,5551,6988,14839,22866,51046,8335,68442,32595
김종욱 찾기,3.0,3.45187,,232095.0,9580.0,1262.0,장유정,"임수정,공유,이청아",12세 관람가,로맨틱 코미디,한국,112.0,2010.0,1354,2550,6826,10277,19788,25984,61824,8623,64977,29892
스텝 업,3.0,3.7541,,276610.0,8426.0,632.0,앤플레쳐,"채닝테이텀,제나드완,드류시도라",12세 관람가,드라마,미국,103.0,2006.0,1083,1795,4355,7602,12890,27703,60254,11814,90487,58627
토이 스토리 2,4.0,3.90385,,280872.0,5032.0,800.0,존라세터,"톰행크스,팀알렌,조앤쿠삭",전체 관람가,애니메이션,미국,92.0,1999.0,535,914,2745,4504,9382,25743,52117,15961,100928,68043
마스크,3.0,3.76103,,288726.0,5428.0,1052.0,척러셀,"짐캐리,피터리거트,피터그린",,코미디,미국,97.0,1994.0,794,1262,3970,6087,11854,30730,62354,13810,105412,52453
나 홀로 집에 2 - 뉴욕을 헤매다,4.0,3.84159,,357583.0,1589.0,1047.0,크리스콜럼버스,"맥컬리컬킨,조페시,다니엘스턴",전체 관람가,코미디,미국,115.0,1992.0,851,1642,3731,8242,13347,37281,70299,18113,123546,80531
라이온 킹,3.0,4.09618,,328892.0,6738.0,1398.0,로저알러스,"김선우,오승윤,장세준",전체 관람가,애니메이션,미국,89.0,1994.0,551,756,2783,3533,7091,23204,44202,24705,115418,106649
쿵푸팬더 2,1.0,3.56948,,316168.0,2674.0,791.0,여인영,"잭블랙,더스틴호프만,성룡",전체 관람가,애니메이션,미국,91.0,2011.0,970,2323,5828,10638,22149,32115,86933,8999,96816,49397
라따뚜이,2.0,3.90903,,361209.0,8274.0,1645.0,브래드버드,"패튼오스왈트,루로마노,이안홈",전체 관람가,애니메이션,미국,115.0,2007.0,671,1246,3488,6103,10714,36582,63177,23233,132362,83633
슈렉,2.0,3.77229,,404948.0,1493.0,877.0,빅키젠슨,"장광,마이크마이어스,에디머피",전체 관람가,애니메이션,미국,90.0,2001.0,812,1589,3983,8131,14046,45216,88537,18269,155592,68773
캡틴 아메리카: 윈터 솔져,4.0,3.90476,,229946.0,10133.0,4254.0,안소니루소,"크리스에반스,스칼렛요한슨,사무엘L.잭슨",15세 관람가,액션,미국,136.0,2014.0,866,1317,1674,6316,5280,36601,30361,26625,76109,44797
피아니스트,4.0,4.14627,,224402.0,30952.0,1701.0,로만폴란스키,"애드리언브로디,토머스크레취만,에드스톱파드",12세 관람가,드라마,"프랑스, 독일, 폴란드, 영국, 네덜란드",148.0,2002.0,428,445,2482,1936,5021,13886,25225,22542,75697,76740
하녀,3.0,2.90579,,222417.0,2817.0,964.0,임상수,"전도연,이정재,윤여정",청소년 관람불가,스릴러,한국,106.0,2010.0,3093,5979,13671,17565,38591,21984,74076,3173,33971,10314
퍼시픽 림,1.0,3.23299,,150186.0,5959.0,2865.0,길예르모델토로,"키쿠치린코,찰리헌냄,론펄먼",12세 관람가,SF,미국,131.0,2013.0,2783,3423,6730,9856,16050,18456,38329,5103,34288,15168
월드워Z,2.0,3.67118,,314712.0,9606.0,3458.0,마크포스터,"브래드피트,미레일에노스,다니엘라케르테스",15세 관람가,SF,미국,115.0,2013.0,1394,2315,4237,11214,14563,44917,67082,18499,104420,46071
감시자들,2.0,3.52199,,294764.0,6601.0,2435.0,조의석,"설경구,정우성,한효주",15세 관람가,액션,한국,119.0,2013.0,1430,3194,4079,15516,15924,47596,75131,12406,87296,32192
더 테러 라이브,3.0,3.56791,,400527.0,7870.0,4016.0,김병우,"하정우,이경영,전혜진",15세 관람가,스릴러,한국,97.0,2013.0,2014,3518,6553,16634,22514,58562,95649,19290,128247,47546
은밀하게 위대하게,2.0,3.25676,,482992.0,4293.0,3248.0,장철수,"김수현,박기웅,이현우",15세 관람가,액션,한국,123.0,2013.0,10821,12915,23200,32443,51857,49604,117247,14406,102370,68129
관상,4.0,3.65164,,492065.0,10601.0,3834.0,한재림,"송강호,이정재,백윤식",15세 관람가,드라마,한국,139.0,2013.0,1993,4218,5647,21120,21956,72175,108878,28348,158930,68800
옹박 - 무에타이의 후예,2.0,3.19149,,109104.0,506.0,346.0,프라챠핀카엡,"토니자,춤폰테피탁,렁그라위바이진다쿨",15세 관람가,액션,태국,100.0,2003.0,963,1590,5416,5217,13293,10565,35225,1933,25607,9295
그래비티,5.0,3.97311,5.0,339236.0,26815.0,7847.0,알폰소쿠아론,"산드라블록,조지클루니,오르토이그나티우센",12세 관람가,SF,"미국, 영국",90.0,2013.0,2196,2364,5965,7266,12637,31288,44082,39484,95696,98258
변호인,4.0,4.20167,,525890.0,14524.0,5646.0,양우석,"송강호,오달수,곽도원",15세 관람가,드라마,한국,127.0,2013.0,2733,1546,4781,7081,7381,45914,46054,60480,152660,197260
월터의 상상은 현실이 된다,5.0,3.77627,,165914.0,29303.0,5223.0,벤스틸러,"숀펜,벤스틸러,크리스튼위그",12세 관람가,드라마,미국,114.0,2013.0,1154,1674,2360,6383,6488,25553,25493,18837,48599,29373
플랜맨,3.0,2.98593,,68780.0,3181.0,1456.0,성시흡,"정재영,한지민,장광",15세 관람가,코미디,한국,115.0,2013.0,1684,2903,3149,7816,8278,10324,18165,1883,11070,3508
사이드 이펙트,4.0,3.28288,,12413.0,6384.0,435.0,스티븐소더버그,"주드로,채닝테이텀,루니마라",청소년 관람불가,스릴러,미국,106.0,2013.0,64,136,343,825,883,2390,3792,363,3116,501
결혼전야,3.0,3.08538,,49978.0,3793.0,805.0,홍지영,"김강우,김효진,옥택연",15세 관람가,로맨틱 코미디,한국,118.0,2013.0,1037,1738,2188,4739,5674,6473,13525,1265,9976,3363
어바웃 타임,5.0,4.2667,,449950.0,23543.0,8429.0,리처드커티스,"도널글리슨,레이첼맥아담스,린제이던칸",15세 관람가,로맨스/멜로,영국,123.0,2013.0,875,1211,2417,5587,6228,36312,37333,59340,120601,180046
집으로 가는 길,3.0,3.63746,,59763.0,6291.0,1160.0,방은진,"전도연,고수,강지우",15세 관람가,드라마,한국,131.0,2013.0,397,635,912,3026,2659,10008,11839,4488,17307,8492
짝패,3.0,3.33946,4.0,112837.0,2132.0,688.0,류승완,"류승완,정두홍,이범수",청소년 관람불가,액션,한국,92.0,2006.0,683,1084,4256,4358,11623,11143,34068,2318,31717,11587
데자뷰,3.0,3.62249,,79049.0,7937.0,436.0,토니스콧,"덴젤워싱턴,발킬머,폴라패튼",12세 관람가,SF,미국,126.0,2006.0,146,298,1230,1987,4088,9132,20653,3643,28220,9652
똥파리,3.0,3.6646,4.0,116032.0,10848.0,972.0,양익준,"양익준,김꽃비,이환",청소년 관람불가,드라마,한국,130.0,2008.0,892,910,4176,2580,7409,10509,22367,7265,38338,21586
수상한 고객들,3.0,3.10074,,79686.0,2132.0,374.0,조진모,"류승범,성동일,박철민",15세 관람가,코미디,한국,124.0,2011.0,710,1377,4031,4938,10915,7819,26128,1389,17453,4926
디스 민즈 워,3.0,3.44805,,124991.0,7021.0,1194.0,맥지,"톰하디,리즈위더스푼,크리스파인",15세 관람가,로맨틱 코미디,미국,97.0,2012.0,627,1300,3465,5814,9564,16510,32880,4826,36605,13400
예스 맨,4.0,3.54791,,178410.0,10080.0,1008.0,페이튼리드,"짐캐리,주이디샤넬,브래들리쿠퍼",15세 관람가,코미디,미국,104.0,2008.0,544,1158,3124,6211,10868,21236,49148,6783,58424,20914
공모자들,2.0,3.36338,,181826.0,4366.0,983.0,김홍선,"임창정,최다니엘,오달수",청소년 관람불가,범죄,한국,111.0,2012.0,1759,2443,7028,8513,17793,18632,49106,5395,49502,21655
비스티 보이즈,3.0,2.90921,2.0,81513.0,3098.0,640.0,윤종빈,"하정우,윤계상,윤진서",청소년 관람불가,범죄,한국,123.0,2008.0,1447,1946,7289,5035,14278,6921,23132,1381,15209,4875
17 어게인,3.0,3.56401,,121630.0,7435.0,832.0,버스티어스,"잭에프론,레슬리만,토머스레넌",,로맨틱 코미디,미국,102.0,2009.0,508,989,2993,4540,7491,15488,29589,5432,37986,16614
미스 리틀 선샤인,4.0,3.8692,,56992.0,13873.0,1114.0,조나단데이턴,"스티브카렐,토니콜렛,그렉키니어",15세 관람가,코미디,미국,102.0,2006.0,120,181,1463,803,2349,5756,8660,4872,19978,12810
눈에는 눈 이에는 이,3.0,3.09769,,71307.0,1797.0,213.0,곽경택,"한석규,차승원,김지석",15세 관람가,스릴러,한국,101.0,2008.0,501,977,3489,3717,10322,5617,25816,819,15308,4741
품행 제로,2.0,3.12293,,137917.0,2256.0,586.0,조근식,"류승범,임은경,공효진",15세 관람가,코미디,한국,99.0,2002.0,1450,2355,6826,7675,18420,13693,44787,2218,31154,9339
알.이.씨,2.0,3.36064,,81816.0,2907.0,707.0,하우메발라게로,"마누엘라벨라스코,하비에르보텟,페란떼라사",청소년 관람불가,공포,스페인,78.0,2007.0,974,1075,4642,3202,8215,8473,18991,3116,22535,10593
싸움의 기술,3.0,3.08136,,198248.0,1503.0,537.0,신한솔,"백윤식,재희,박기웅",15세 관람가,코미디,한국,95.0,2005.0,2212,4257,9703,12823,28148,19001,64014,3119,42163,12808
서유기 - 월광보합,5.0,3.9259,,63298.0,1924.0,518.0,유진위,"주성치,오맹달,나가영",15세 관람가,코미디,홍콩,88.0,1994.0,340,270,2858,783,3064,3704,8584,3550,18465,21680
킬 빌 - 2부,5.0,3.65659,,127951.0,4824.0,927.0,쿠엔틴타란티노,"우마서먼,데이빗캐러딘,대릴한나",청소년 관람불가,액션,미국,138.0,2004.0,655,947,3187,3371,8202,13194,27744,7054,41047,22550
억셉티드,4.0,3.67047,,57877.0,7270.0,885.0,스티브핑크,"저스틴롱,애덤허쉬만,컬럼버스숏",,코미디,미국,90.0,2006.0,160,330,1788,1486,3347,6622,11817,3392,18903,10032
13 구역,2.0,3.71408,,155295.0,6262.0,658.0,피에르모렐,"시릴라파엘리,데이빗벨,비비나세리",15세 관람가,액션,프랑스,84.0,2004.0,448,743,2464,3700,7259,16871,35850,6245,54104,27611
"장화, 홍련",5.0,3.18378,,228160.0,4192.0,1250.0,김지운,"임수정,문근영,염정아",12세 관람가,공포,한국,118.0,2003.0,3285,4130,13172,10743,28545,23717,62381,8282,55504,18401
썸머 워즈,4.0,3.64625,3.0,136954.0,11420.0,1508.0,호소다마모루,"카미키류노스케,사쿠라바나나미,나카리이사",전체 관람가,애니메이션,일본,113.0,2009.0,774,1205,3333,4789,8179,16403,28585,7102,42447,24137
첫 키스만 50번째,3.0,3.72445,,182786.0,15901.0,1211.0,피터시걸,"아담샌들러,드류베리모어,숀애스틴",15세 관람가,로맨틱 코미디,미국,99.0,2004.0,527,885,2940,4572,8498,20294,40635,9844,62362,32229
여배우들,1.0,2.69881,,138449.0,2536.0,587.0,이재용,"김옥빈,윤여정,이미숙",12세 관람가,드라마,한국,104.0,2009.0,3234,4692,14500,10693,28075,10405,41897,1174,18731,5048
복수는 나의 것,3.0,3.68706,,93311.0,12367.0,1326.0,박찬욱,"송강호,신하균,배두나",청소년 관람불가,스릴러,한국,120.0,2002.0,347,420,2791,1761,5634,8794,19640,6539,31280,16105
엑스맨,3.0,3.8104,,224275.0,4617.0,727.0,브라이언싱어,"패트릭스튜어트,휴잭맨,이안맥켈런",12세 관람가,판타지,미국,104.0,2000.0,448,706,2410,4161,7662,24004,48750,9280,81196,45658
레지던트 이블,3.0,3.72377,,157786.0,3264.0,590.0,폴W.S.앤더슨,"밀라요보비치,미셀로드리게즈,에릭마비우스",청소년 관람불가,공포,"독일, 미국, 영국",100.0,2002.0,671,854,3806,3593,8807,14088,34765,5997,51062,34143
파라노말 액티비티,2.0,3.09261,,177563.0,2599.0,950.0,오렌펠리,"케이티피더스턴,미카슬로앳,애슐리팰머",청소년 관람불가,공포,미국,85.0,2007.0,4576,3875,15363,8515,22830,16307,43684,5172,38943,18298
유주얼 서스펙트,3.0,4.1993,,180227.0,29191.0,1815.0,브라이언싱어,"케빈스페이시,가브리엘번,스티븐볼드윈",청소년 관람불가,스릴러,"미국, 독일",106.0,1995.0,351,361,2359,1333,3589,10389,17293,16840,59361,68351
쥬라기 공원 3,3.0,3.39318,,108315.0,1132.0,359.0,조존스톤,"마이클제터,샘닐,윌리암H.머시",12세 관람가,SF,미국,92.0,2001.0,618,1204,3477,4930,10339,9776,32512,2471,28856,14132
트와일라잇,3.0,3.50983,,418924.0,3077.0,1364.0,캐서린하드윅,"로버트패틴슨,크리스틴스튜어트,피터파시넬리",12세 관람가,판타지,미국,121.0,2008.0,7009,6624,19579,16727,36507,33573,89463,13648,103656,92138
더 문,4.0,3.69218,,48849.0,12117.0,916.0,던칸존스,"샘록웰,케빈스페이시,말콤스튜어트",12세 관람가,SF,영국,97.0,2009.0,122,196,1533,853,2869,5135,9515,3163,17457,8006
영화는 영화다,2.0,3.30617,3.0,150709.0,4574.0,603.0,장훈,"소지섭,강지환,홍수현",청소년 관람불가,액션,한국,112.0,2008.0,1346,2255,5507,7513,15334,15957,44156,3846,40407,14388
러브 & 드럭스,4.0,3.28458,,97676.0,7459.0,574.0,에드워드즈윅,"제이크질렌할,앤해서웨이,가브리엘매치",청소년 관람불가,로맨틱 코미디,미국,112.0,2010.0,485,1132,3396,4834,10246,10945,31365,2125,24822,8326
그녀를 믿지 마세요,1.0,2.99258,3.0,181979.0,2477.0,601.0,배형준,"김하늘,강동원,임하룡",12세 관람가,로맨틱 코미디,한국,115.0,2004.0,2401,4214,11252,11873,28276,16851,59610,2289,34518,10695
빨간 모자의 진실,2.0,3.05978,,144831.0,1052.0,426.0,코리에드워즈,"앤해서웨이,강혜정,글렌클로즈",전체 관람가,애니메이션,미국,80.0,2005.0,2002,3415,8323,9622,20772,13367,45587,2536,27774,11433
늑대의 유혹,2.0,2.7772,,299586.0,1884.0,1066.0,김태균,"강동원,조한선,이청아",12세 관람가,로맨스/멜로,한국,113.0,2004.0,10034,10134,34190,19020,55424,16299,81644,3217,45254,24370
몬스터 주식회사,4.0,3.98265,,311645.0,8193.0,1184.0,데이빗실버맨,"김진태,이인성,김옥경",전체 관람가,애니메이션,미국,92.0,2001.0,603,915,3233,4707,8567,27569,49420,20650,110151,85830
이웃집 토토로,2.0,4.03615,,397909.0,11836.0,1545.0,미야자키하야오,"체릴체이스,라라코디,나탈리코어",전체 관람가,애니메이션,일본,87.0,1988.0,686,1102,3252,5407,9834,31679,60537,25588,138958,120866
헝거게임: 판엠의 불꽃,3.0,3.68782,,219184.0,8557.0,2055.0,게리로스,"제니퍼로렌스,조쉬허처슨,리암헴스워스",15세 관람가,판타지,미국,142.0,2012.0,976,1571,4794,6712,12545,27157,44753,14015,66652,40009
시카고,2.0,3.78464,,100484.0,12632.0,707.0,롭마샬,"르네젤위거,캐서린제타-존스,리차드기어",15세 관람가,드라마,"미국, 캐나다",113.0,2002.0,291,386,2212,1724,4668,9466,19797,6202,35404,20334
아이 엠 넘버 포,3.0,3.0511,,120355.0,2408.0,664.0,D.J.카루소,"알렉스페티퍼,티모시올리펀트,테레사팔머",12세 관람가,SF,미국,103.0,2011.0,1725,2914,7316,7763,18406,10249,36027,1890,24357,9708
클릭,4.0,3.41838,,206713.0,5845.0,1093.0,프랭크코라치,"아담샌들러,케이트베킨세일,크리스토퍼월켄",12세 관람가,코미디,미국,107.0,2006.0,1037,2236,5598,8911,18693,22530,59357,7141,57697,23513
소림축구,3.0,3.49179,,301028.0,791.0,1284.0,주성치,"주성치,조미,오맹달",15세 관람가,코미디,"홍콩, 중국",87.0,2001.0,2244,3023,10261,10582,23784,31383,75239,9900,92049,42563
작전,3.0,3.19586,,117278.0,1401.0,398.0,이호재,"박용하,김민정,김무열",15세 관람가,드라마,한국,119.0,2009.0,959,1757,5287,6033,14824,10840,37246,2204,28568,9560
스윙걸즈,3.0,3.5283,,116273.0,3641.0,570.0,야구치시노부,"타케나카나오토,우에노주리,히라오카유타",12세 관람가,코미디,일본,103.0,2004.0,587,797,4034,3126,7874,12638,28798,3975,39559,14885
데스티네이션,2.0,3.37924,,156705.0,1619.0,482.0,제임스왕,"데본사와,알리라터,커스미스",청소년 관람불가,공포,미국,97.0,2000.0,1420,1511,7802,5041,14840,14435,42951,3576,44638,20491
새벽의 저주,4.0,3.6578,,156910.0,5377.0,1130.0,잭스나이더,"사라폴리,빙라메스,제이크웨버",청소년 관람불가,공포,미국,100.0,2004.0,1942,1190,8392,3498,9364,13049,28222,7888,47302,36063
로맨틱 홀리데이,3.0,3.68603,,135213.0,13387.0,824.0,낸시마이어스,"카메론디아즈,케이트윈슬렛,주드로",15세 관람가,로맨틱 코미디,미국,135.0,2006.0,351,629,2569,3486,6842,14539,31997,6179,45453,23168
그 여자 작사 그 남자 작곡,3.0,3.78346,,256477.0,19448.0,995.0,마크로렌스,"드류베리모어,휴그랜트,셔만알퍼트",12세 관람가,로맨틱 코미디,미국,103.0,2007.0,519,940,3053,5329,9400,27264,55301,12464,94988,47219
무간도,5.0,4.04031,,140626.0,12024.0,1018.0,맥조휘,"양조위,유덕화,황추생",12세 관람가,범죄,홍콩,100.0,2002.0,328,368,3132,1309,4805,8172,18184,10362,48174,45792
쏘우,1.0,3.51588,,279150.0,2679.0,1364.0,제임스완,"리워넬,켄렁,캐리엘위스",청소년 관람불가,공포,미국,100.0,2004.0,6499,2753,21484,6204,20216,19178,50172,13937,77282,61425
모범시민,3.0,3.60439,,184493.0,6358.0,863.0,F.게리그레이,"제이미폭스,제라드버틀러,비올라데이비스",15세 관람가,액션,미국,107.0,2009.0,555,1042,3552,5974,12139,18584,46576,7329,61106,27636
28일 후,4.0,3.74457,4.0,174837.0,7806.0,977.0,대니보일,"킬리언머피,나오미해리스,크리스토퍼에클리스턴",청소년 관람불가,공포,"네덜란드, 영국, 미국",113.0,2002.0,1061,976,5407,3657,9617,14918,33865,7897,57674,39765
연애의 목적,4.0,3.23468,,173824.0,2987.0,814.0,한재림,"박해일,강혜정,박그리나",청소년 관람불가,로맨틱 코미디,한국,121.0,2005.0,1266,2187,7208,7465,21116,16414,56200,3284,44064,14620
화이트 칙스,2.0,3.70081,,290383.0,5096.0,1236.0,키넌아이버리웨이언스,"존허드,숀웨이언스,마론웨이언스",15세 관람가,코미디,미국,108.0,2004.0,1881,2516,9305,8019,18700,25223,55691,13031,90766,65251
인 타임,2.0,3.58333,,271174.0,7978.0,2428.0,앤드류니콜,"아만다사이프리드,저스틴팀버레이크,킬리언머피",12세 관람가,SF,미국,109.0,2011.0,1218,2775,6633,11582,20684,28095,61786,13155,79143,46103
알 포인트,1.0,3.20696,,241097.0,3332.0,1083.0,공수창,"감우성,손병호,박원상",15세 관람가,공포,한국,106.0,2004.0,3117,3377,16197,9320,30276,22183,64315,7589,61801,22922
아는 여자,4.0,3.55275,4.0,161057.0,7255.0,1094.0,장진,"정재영,이나영,박선우",15세 관람가,로맨틱 코미디,한국,107.0,2004.0,711,1108,5370,4051,12926,13820,40037,5927,51890,25217
라디오 스타,3.0,3.48144,4.0,284091.0,4047.0,874.0,이준익,"김정아,서소현,박중훈",12세 관람가,코미디,한국,115.0,2006.0,1113,2122,6691,9336,20997,30300,82737,8716,90715,31364
달콤한 인생,3.0,3.88548,,226248.0,9516.0,1619.0,김지운,"이병헌,김영철,신민아",청소년 관람불가,범죄,한국,120.0,2005.0,492,672,3712,3141,8830,18300,40288,13122,83840,53851
인크레더블,4.0,3.73123,,325966.0,3455.0,1041.0,브래드버드,"크레이그넬슨,홀리헌터,제이슨리",전체 관람가,애니메이션,미국,121.0,2004.0,792,1502,5881,7281,16629,31536,73450,14330,111723,62842
우아한 세계,3.0,3.52045,3.0,94207.0,7512.0,742.0,한재림,"송강호,박지영,김소은",15세 관람가,범죄,한국,112.0,2007.0,289,500,2203,2621,6080,11098,27029,3026,30533,10828
헝거게임: 캣칭 파이어,3.0,3.7584,,173080.0,13726.0,2257.0,프란시스로렌스,"제니퍼로렌스,조쉬허처슨,리암헴스워스",15세 관람가,판타지,미국,146.0,2013.0,940,1462,2410,5928,6582,26558,30283,14255,53771,30891
성냥팔이 소녀의 재림,1.0,1.2247,,5848.0,209.0,332.0,장선우,"임은경,현성,김진표",15세 관람가,액션,한국,125.0,2002.0,1661,341,2531,124,793,38,242,11,50,57
프롬 파리 위드 러브,3.0,3.13425,,15491.0,1720.0,141.0,피에르모렐,"존트라볼타,조나단리스마이어스,인빙",청소년 관람불가,액션,프랑스,94.0,2010.0,98,317,549,1244,1861,1942,5099,272,3219,890
BB 프로젝트,2.0,3.20857,,29584.0,571.0,140.0,진목승,"성룡,고천락,응채아",12세 관람가,액션,홍콩,108.0,2006.0,223,565,960,1931,3298,3399,9652,567,6758,2231
거룩한 계보,3.0,3.13547,,41742.0,1717.0,289.0,장진,"정재영,정준호,류승룡",15세 관람가,액션,한국,126.0,2006.0,541,964,1745,3249,5136,4719,12659,930,8652,3147
자토이치,3.0,3.28769,4.0,23343.0,1541.0,230.0,기타노다케시,"기타노다케시,아사노타다노부,오구스미치요",15세 관람가,액션,일본,116.0,2003.0,144,266,867,1036,2291,2756,7180,624,6656,1523
상하이 나이츠,2.0,3.16771,,31570.0,392.0,129.0,데이빗돕킨,"성룡,오웬윌슨,톰피셔",12세 관람가,액션,"미국, 홍콩",110.0,2003.0,198,485,978,2218,3637,3509,11219,445,6966,1915
회사원,2.0,2.89357,,117535.0,2865.0,920.0,임상윤,"소지섭,이미연,곽도원",청소년 관람불가,액션,한국,96.0,2012.0,3261,4751,7575,10926,18766,11631,32820,2082,18240,7483
콜래트럴,2.0,3.46082,,28480.0,3368.0,432.0,마이클만,"톰크루즈,제이미폭스,브루스맥길",15세 관람가,범죄,미국,120.0,2004.0,71,159,523,987,1890,4030,8542,1095,9063,2120
크로우즈 제로 2,3.0,3.49094,,54905.0,1631.0,280.0,미이케다카시,"오구리슌,야마다타카유키,카네코노부아키",청소년 관람불가,액션,일본,133.0,2009.0,702,802,2342,2198,4522,5531,12237,2040,14716,9815
턱시도,3.0,3.17908,,98968.0,483.0,391.0,케빈도노반,"성룡,제니퍼러브휴이트,제이슨아이삭스",15세 관람가,액션,미국,99.0,2002.0,581,1617,2911,6823,11563,11761,34102,1774,21809,6027
미션 임파서블 2,3.0,3.65701,,142270.0,2190.0,683.0,오우삼,"톰크루즈,더그레이스콧,탠디뉴튼",15세 관람가,액션,미국,123.0,2000.0,578,1152,2389,4604,8217,14804,32449,4918,49203,23956
취권,3.0,3.70643,,82211.0,895.0,438.0,원화평,"성룡,황정리,원소전",12세 관람가,액션,홍콩,107.0,1978.0,228,354,1599,1564,3576,9134,18279,3434,31101,12942
영웅 :  천하의 시작,5.0,3.51243,,49065.0,1014.0,530.0,장예모,"이연걸,양조위,장만옥",15세 관람가,액션,중국,109.0,2002.0,168,279,1427,1316,3499,5462,13320,2148,15846,5600
트랜스포터 - 엑스트림,3.0,3.65099,,66035.0,1977.0,254.0,루이스리터리어,"케이트노타,매튜모딘,제이슨플레밍",15세 관람가,액션,"프랑스, 미국",87.0,2005.0,192,413,1297,1956,3740,6686,16697,2016,21039,11999
와일드 카드,2.0,3.3757,,62294.0,1064.0,254.0,김유진,"정진영,양동근,한채영",청소년 관람불가,액션,한국,114.0,2003.0,266,592,1843,2510,5565,7126,18837,1637,18396,5522
엽문 2,3.0,3.56924,,79968.0,1040.0,313.0,엽위신,"견자단,홍금보,황효명",15세 관람가,액션,홍콩,108.0,2010.0,305,591,1717,2813,5226,8881,20937,2670,24891,11937
트랜스포터,3.0,3.73704,,133958.0,3071.0,420.0,원규,"제이슨스타뎀,서기,프랑수아벨레앙",15세 관람가,액션,프랑스,92.0,2002.0,412,646,2080,3175,6065,13892,30222,4968,46867,25631
크로우즈 제로,4.0,3.48069,,95176.0,3154.0,583.0,미이케다카시,"오구리슌,야베쿄스케,쿠로키메이사",15세 관람가,액션,일본,129.0,2007.0,1062,1187,4822,3334,8541,8535,21096,3347,25776,17476
닌자 어쌔신,2.0,2.55139,,117973.0,599.0,523.0,제임스맥티그,"정지훈,쇼코스기,벤마일즈",청소년 관람불가,액션,"미국, 독일",98.0,2009.0,4423,5027,15716,8774,26423,6366,32083,835,13165,5161
오션스 일레븐,3.0,3.8856,,122243.0,1991.0,324.0,올리비에메가턴,"제이슨스타뎀,나탈리아루다코바,프랑수아벨레앙",12세 관람가,액션,미국,116.0,2001.0,443,718,2482,3442,7083,11439,29402,3973,38962,24299
트랜스포터 - 라스트 미션,3.0,3.68131,,213870.0,11830.0,863.0,스티븐소더버그,"조지클루니,맷데이먼,앤디가르시아",15세 관람가,액션,프랑스,103.0,2008.0,337,550,2117,3263,6235,21868,39063,11186,83079,46172
본 레거시,4.0,3.39774,,116419.0,5155.0,892.0,토니길로이,"제레미레너,에드워드노튼,레이첼와이즈",15세 관람가,액션,미국,135.0,2012.0,1062,1570,4152,5816,11218,11228,30840,3227,31319,15987
아드레날린 24,2.0,3.47059,,98031.0,2560.0,518.0,브라이언테일러,"제이슨스타뎀,에이미스마트,호세파블로칸틸로",청소년 관람불가,액션,"영국, 미국",86.0,2006.0,592,933,3383,3290,8683,9018,26200,2451,29063,14418
바람의 파이터,3.0,3.1457,,147447.0,722.0,329.0,양윤호,"양동근,히라야마아야,가토마사야",12세 관람가,액션,한국,120.0,2004.0,1334,2542,7199,7914,20871,12024,47406,2463,33258,12436
아라한 장풍대작전,3.0,2.89316,,232742.0,622.0,748.0,류승완,"류승범,윤소이,안성기",12세 관람가,액션,한국,114.0,2004.0,4710,6261,18140,15515,39288,19817,72791,2684,41369,12167
킬 빌 - 1부,5.0,3.73893,4.0,224403.0,8005.0,1786.0,쿠엔틴타란티노,"우마서먼,루시리우,비비카A.폭스",청소년 관람불가,액션,미국,110.0,2003.0,1040,1343,6406,4460,13673,18378,43303,13797,74836,47167
엽문,3.0,3.70585,,163441.0,1864.0,568.0,엽위신,"견자단,웅대림,임달화",12세 관람가,액션,홍콩,106.0,2008.0,483,725,3771,3269,8917,14600,37521,6352,56720,31083
호빗: 스마우그의 폐허,4.0,3.80367,,162063.0,9232.0,2354.0,피터잭슨,"베네딕트컴버배치,마틴프리먼,이안맥켈런",12세 관람가,판타지,"미국, 뉴질랜드",161.0,2013.0,829,1122,2164,4951,5833,23248,27169,13236,51827,31684
중천,1.0,1.95485,,26413.0,151.0,330.0,조동오,"정우성,김태희,김광일",12세 관람가,판타지,한국,102.0,2006.0,3193,2979,4722,2783,6475,983,3977,120,870,311
